date,value
1988-08-20,13379
1988-08-21,14052
1988-08-22,14746
1988-08-23,14626
1988-08-24,14670
1988-08-25,14672
1988-08-26,14650
1988-08-27,13507
1988-08-28,14020
1988-08-29,14593
1988-08-30,14652
1988-08-31,14590
1988-09-01,14556
1988-09-02,14530
1988-09-03,12314
1988-09-04,11712
1988-09-05,13559
1988-09-06,14466
1988-09-07,14622
1988-09-08,14638
1988-09-09,14588
1988-09-10,13172
1988-09-11,13755
1988-09-12,14333
1988-09-13,14565
1988-09-14,14475
1988-09-15,14509
1988-09-16,14209
1988-09-17,12952
1988-09-18,13577
1988-09-19,14253
1988-09-20,14510
1988-09-21,14619
1988-09-22,14479
1988-09-23,14512
1988-09-24,13087
1988-09-25,13805
1988-09-26,14630
1988-09-27,14531
1988-09-28,14567
1988-09-29,14298
1988-09-30,14214
1988-10-01,13097
1988-10-02,13757
1988-10-03,14573
1988-10-04,14543
1988-10-05,14509
1988-10-06,14646
1988-10-07,14617
1988-10-08,13148
1988-10-09,13743
1988-10-10,14533
1988-10-11,14507
1988-10-12,14610
1988-10-13,14570
1988-10-14,14562
1988-10-15,13183
1988-10-16,13818
1988-10-17,14054
1988-10-18,14415
1988-10-19,14603
1988-10-20,14421
1988-10-21,14407
1988-10-22,13135
1988-10-23,13780
1988-10-24,14511
1988-10-25,14573
1988-10-26,14522
1988-10-27,14482
1988-10-28,14393
1988-10-29,13186
1988-10-30,13806
1988-10-31,14660
1988-11-01,14438
1988-11-02,14512
1988-11-03,14552
1988-11-04,13877
1988-11-05,12702
1988-11-06,13683
1988-11-07,14626
1988-11-08,14595
1988-11-09,14439
1988-11-10,14389
1988-11-11,14501
1988-11-12,13052
1988-11-13,13674
1988-11-14,14634
1988-11-15,14208
1988-11-16,14281
1988-11-17,14465
1988-11-18,14450
1988-11-19,12846
1988-11-20,13365
1988-11-21,14459
1988-11-22,14507
1988-11-23,14644
1988-11-24,11448
1988-11-25,11132
1988-11-26,12401
1988-11-27,13797
1988-11-28,14541
1988-11-29,14615
1988-11-30,14511
1988-12-01,14444
1988-12-02,14608
1988-12-03,13131
1988-12-04,13859
1988-12-05,14697
1988-12-06,14666
1988-12-07,14570
1988-12-08,14482
1988-12-09,14459
1988-12-10,13160
1988-12-11,13652
1988-12-12,14407
1988-12-13,14333
1988-12-14,14415
1988-12-15,14300
1988-12-16,14386
1988-12-17,12951
1988-12-18,13705
1988-12-19,14462
1988-12-20,14336
1988-12-21,14455
1988-12-22,14393
1988-12-23,14459
1988-12-24,12496
1988-12-25,12661
1988-12-26,13425
1988-12-27,13706
1988-12-28,13865
1988-12-29,14213
1988-12-30,14303
1988-12-31,12826
1989-01-01,13040
1989-01-02,14007
1989-01-03,14112
1989-01-04,14275
1989-01-05,14356
1989-01-06,13401
1989-01-07,12519
1989-01-08,13058
1989-01-09,14285
1989-01-10,14364
1989-01-11,14125
1989-01-12,14118
1989-01-13,14365
1989-01-14,12895
1989-01-15,13489
1989-01-16,14527
1989-01-17,14555
1989-01-18,14484
1989-01-19,14394
1989-01-20,14295
1989-01-21,12932
1989-01-22,13711
1989-01-23,14656
1989-01-24,14611
1989-01-25,14117
1989-01-26,14319
1989-01-27,14530
1989-01-28,12629
1989-01-29,13611
1989-01-30,14568
1989-01-31,14634
1989-02-01,14106
1989-02-02,13882
1989-02-03,13394
1989-02-04,12045
1989-02-05,12347
1989-02-06,13515
1989-02-07,14265
1989-02-08,14327
1989-02-09,14223
1989-02-10,14422
1989-02-11,12870
1989-02-12,13673
1989-02-13,14170
1989-02-14,14445
1989-02-15,14284
1989-02-16,14449
1989-02-17,14203
1989-02-18,12474
1989-02-19,13446
1989-02-20,14058
1989-02-21,14058
1989-02-22,14419
1989-02-23,14376
1989-02-24,13955
1989-02-25,13123
1989-02-26,13687
1989-02-27,14466
1989-02-28,14388
1989-03-01,14189
1989-03-02,13895
1989-03-03,13847
1989-03-04,11110
1989-03-05,11889
1989-03-06,12252
1989-03-07,13099
1989-03-08,13193
1989-03-09,13571
1989-03-10,13705
1989-03-11,12519
1989-03-12,12995
1989-03-13,13722
1989-03-14,13511
1989-03-15,13725
1989-03-16,13767
1989-03-17,13595
1989-03-18,12160
1989-03-19,13065
1989-03-20,13566
1989-03-21,13708
1989-03-22,13781
1989-03-23,13772
1989-03-24,13798
1989-03-25,12458
1989-03-26,13122
1989-03-27,13828
1989-03-28,13626
1989-03-29,13750
1989-03-30,13609
1989-03-31,13496
1989-04-01,12357
1989-04-02,12889
1989-04-03,13558
1989-04-04,13404
1989-04-05,13681
1989-04-06,13712
1989-04-07,13816
1989-04-08,12411
1989-04-09,12906
1989-04-10,13907
1989-04-11,13923
1989-04-12,13891
1989-04-13,13864
1989-04-14,13815
1989-04-15,12511
1989-04-16,13063
1989-04-17,13852
1989-04-18,13824
1989-04-19,13845
1989-04-20,13848
1989-04-21,13931
1989-04-22,12659
1989-04-23,13077
1989-04-24,13851
1989-04-25,13846
1989-04-26,13880
1989-04-27,13889
1989-04-28,13752
1989-04-29,12515
1989-04-30,13041
1989-05-01,13640
1989-05-02,13700
1989-05-03,13599
1989-05-04,13611
1989-05-05,13684
1989-05-06,12362
1989-05-07,12955
1989-05-08,13814
1989-05-09,13728
1989-05-10,13524
1989-05-11,13689
1989-05-12,13691
1989-05-13,12450
1989-05-14,13076
1989-05-15,13651
1989-05-16,13403
1989-05-17,13597
1989-05-18,13529
1989-05-19,13577
1989-05-20,12427
1989-05-21,12948
1989-05-22,13762
1989-05-23,13748
1989-05-24,13622
1989-05-25,13640
1989-05-26,13579
1989-05-27,11901
1989-05-28,11992
1989-05-29,13354
1989-05-30,13792
1989-05-31,13592
1989-06-01,13321
1989-06-02,13761
1989-06-03,12546
1989-06-04,13102
1989-06-05,13842
1989-06-06,13748
1989-06-07,13566
1989-06-08,13631
1989-06-09,13682
1989-06-10,12778
1989-06-11,13171
1989-06-12,13588
1989-06-13,13451
1989-06-14,13553
1989-06-15,13585
1989-06-16,13697
1989-06-17,12686
1989-06-18,13179
1989-06-19,13726
1989-06-20,13664
1989-06-21,13769
1989-06-22,13429
1989-06-23,13552
1989-06-24,12540
1989-06-25,13198
1989-06-26,13428
1989-06-27,13491
1989-06-28,13610
1989-06-29,13557
1989-06-30,13720
1989-07-01,12436
1989-07-02,12268
1989-07-03,12299
1989-07-04,13107
1989-07-05,13757
1989-07-06,13653
1989-07-07,13922
1989-07-08,12815
1989-07-09,13273
1989-07-10,13808
1989-07-11,13535
1989-07-12,13663
1989-07-13,13824
1989-07-14,13853
1989-07-15,12886
1989-07-16,13330
1989-07-17,13837
1989-07-18,13710
1989-07-19,13676
1989-07-20,13515
1989-07-21,13598
1989-07-22,12741
1989-07-23,13162
1989-07-24,13859
1989-07-25,13646
1989-07-26,13490
1989-07-27,13315
1989-07-28,13591
1989-07-29,12671
1989-07-30,13168
1989-07-31,13805
1989-08-01,13621
1989-08-02,13859
1989-08-03,13843
1989-08-04,13772
1989-08-05,12788
1989-08-06,13126
1989-08-07,13930
1989-08-08,13937
1989-08-09,13959
1989-08-10,13920
1989-08-11,13676
1989-08-12,12786
1989-08-13,13321
1989-08-14,13767
1989-08-15,13731
1989-08-16,13771
1989-08-17,13738
1989-08-18,13987
1989-08-19,12889
1989-08-20,13279
1989-08-21,13832
1989-08-22,13676
1989-08-23,13926
1989-08-24,13847
1989-08-25,14014
1989-08-26,12953
1989-08-27,13355
1989-08-28,13879
1989-08-29,14059
1989-08-30,14108
1989-08-31,14044
1989-09-01,13797
1989-09-02,12313
1989-09-03,11898
1989-09-04,13537
1989-09-05,14292
1989-09-06,14084
1989-09-07,14219
1989-09-08,14198
1989-09-09,12884
1989-09-10,13536
1989-09-11,14266
1989-09-12,14232
1989-09-13,14130
1989-09-14,14049
1989-09-15,14088
1989-09-16,12877
1989-09-17,13393
1989-09-18,14056
1989-09-19,14136
1989-09-20,13884
1989-09-21,13656
1989-09-22,13041
1989-09-23,12294
1989-09-24,13185
1989-09-25,14163
1989-09-26,14194
1989-09-27,14196
1989-09-28,14221
1989-09-29,14187
1989-09-30,12867
1989-10-01,13342
1989-10-02,14306
1989-10-03,14329
1989-10-04,14335
1989-10-05,14364
1989-10-06,14362
1989-10-07,12989
1989-10-08,13619
1989-10-09,14339
1989-10-10,14314
1989-10-11,14392
1989-10-12,14365
1989-10-13,14404
1989-10-14,13079
1989-10-15,13486
1989-10-16,14159
1989-10-17,13917
1989-10-18,13700
1989-10-19,13927
1989-10-20,13911
1989-10-21,12811
1989-10-22,13555
1989-10-23,14317
1989-10-24,14414
1989-10-25,14421
1989-10-26,14504
1989-10-27,14408
1989-10-28,12859
1989-10-29,13508
1989-10-30,14180
1989-10-31,14307
1989-11-01,14372
1989-11-02,14479
1989-11-03,14312
1989-11-04,13009
1989-11-05,13681
1989-11-06,14401
1989-11-07,14062
1989-11-08,14227
1989-11-09,14361
1989-11-10,14400
1989-11-11,13029
1989-11-12,13602
1989-11-13,14455
1989-11-14,14450
1989-11-15,14108
1989-11-16,13733
1989-11-17,14384
1989-11-18,12955
1989-11-19,13608
1989-11-20,14423
1989-11-21,14200
1989-11-22,14303
1989-11-23,11380
1989-11-24,10956
1989-11-25,12331
1989-11-26,13728
1989-11-27,14149
1989-11-28,14223
1989-11-29,14476
1989-11-30,14527
1989-12-01,14417
1989-12-02,12973
1989-12-03,13528
1989-12-04,14389
1989-12-05,14308
1989-12-06,14296
1989-12-07,14246
1989-12-08,13507
1989-12-09,12068
1989-12-10,13136
1989-12-11,14109
1989-12-12,14127
1989-12-13,14301
1989-12-14,14185
1989-12-15,13788
1989-12-16,12550
1989-12-17,13321
1989-12-18,14166
1989-12-19,13920
1989-12-20,14094
1989-12-21,14054
1989-12-22,13930
1989-12-23,12322
1989-12-24,11950
1989-12-25,12676
1989-12-26,14022
1989-12-27,13997
1989-12-28,14181
1989-12-29,14125
1989-12-30,11814
1989-12-31,11708
1990-01-01,13717
1990-01-02,14460
1990-01-03,14475
1990-01-04,14403
1990-01-05,14461
1990-01-06,13102
1990-01-07,13725
1990-01-08,14343
1990-01-09,14065
1990-01-10,14289
1990-01-11,14340
1990-01-12,14494
1990-01-13,13161
1990-01-14,13848
1990-01-15,14551
1990-01-16,13461
1990-01-17,14155
1990-01-18,14236
1990-01-19,14117
1990-01-20,12692
1990-01-21,13339
1990-01-22,14527
1990-01-23,14602
1990-01-24,14607
1990-01-25,13598
1990-01-26,14346
1990-01-27,13156
1990-01-28,13721
1990-01-29,14285
1990-01-30,14396
1990-01-31,14482
1990-02-01,14275
1990-02-02,13771
1990-02-03,12598
1990-02-04,13405
1990-02-05,14532
1990-02-06,14484
1990-02-07,14431
1990-02-08,14514
1990-02-09,14386
1990-02-10,12850
1990-02-11,13713
1990-02-12,14522
1990-02-13,14329
1990-02-14,13437
1990-02-15,13217
1990-02-16,13567
1990-02-17,12746
1990-02-18,13648
1990-02-19,14541
1990-02-20,14454
1990-02-21,14423
1990-02-22,14159
1990-02-23,14114
1990-02-24,12242
1990-02-25,13446
1990-02-26,14459
1990-02-27,14478
1990-02-28,14463
1990-03-01,14521
1990-03-02,14523
1990-03-03,13119
1990-03-04,13905
1990-03-05,14529
1990-03-06,13946
1990-03-07,14510
1990-03-08,14454
1990-03-09,14394
1990-03-10,12620
1990-03-11,13045
1990-03-12,14298
1990-03-13,14304
1990-03-14,14450
1990-03-15,14539
1990-03-16,14412
1990-03-17,12990
1990-03-18,13688
1990-03-19,14686
1990-03-20,14654
1990-03-21,14795
1990-03-22,14694
1990-03-23,14569
1990-03-24,12946
1990-03-25,13890
1990-03-26,14732
1990-03-27,14802
1990-03-28,14624
1990-03-29,14411
1990-03-30,14351
1990-03-31,13120
1990-04-01,13724
1990-04-02,14575
1990-04-03,14615
1990-04-04,14761
1990-04-05,14660
1990-04-06,14613
1990-04-07,13231
1990-04-08,13909
1990-04-09,14802
1990-04-10,14591
1990-04-11,14742
1990-04-12,14786
1990-04-13,14796
1990-04-14,13320
1990-04-15,14002
1990-04-16,14683
1990-04-17,14725
1990-04-18,14789
1990-04-19,14784
1990-04-20,14662
1990-04-21,13321
1990-04-22,13879
1990-04-23,14762
1990-04-24,14833
1990-04-25,14706
1990-04-26,14649
1990-04-27,14767
1990-04-28,13162
1990-04-29,13830
1990-04-30,14757
1990-05-01,14759
1990-05-02,14629
1990-05-03,14579
1990-05-04,14659
1990-05-05,13198
1990-05-06,14032
1990-05-07,14927
1990-05-08,14901
1990-05-09,14679
1990-05-10,14547
1990-05-11,14711
1990-05-12,13288
1990-05-13,13977
1990-05-14,14714
1990-05-15,14693
1990-05-16,14568
1990-05-17,14381
1990-05-18,14666
1990-05-19,13276
1990-05-20,13903
1990-05-21,14780
1990-05-22,14724
1990-05-23,14835
1990-05-24,14786
1990-05-25,14689
1990-05-26,12679
1990-05-27,12518
1990-05-28,14224
1990-05-29,14732
1990-05-30,14899
1990-05-31,14799
1990-06-01,14760
1990-06-02,13436
1990-06-03,13924
1990-06-04,14944
1990-06-05,14840
1990-06-06,14656
1990-06-07,14747
1990-06-08,14701
1990-06-09,13584
1990-06-10,14118
1990-06-11,14965
1990-06-12,14990
1990-06-13,14876
1990-06-14,14776
1990-06-15,14793
1990-06-16,13635
1990-06-17,14188
1990-06-18,14596
1990-06-19,14615
1990-06-20,14819
1990-06-21,14789
1990-06-22,14782
1990-06-23,13552
1990-06-24,14145
1990-06-25,14961
1990-06-26,14829
1990-06-27,14723
1990-06-28,14752
1990-06-29,14667
1990-06-30,13555
1990-07-01,13982
1990-07-02,14611
1990-07-03,14589
1990-07-04,13957
1990-07-05,14633
1990-07-06,14780
1990-07-07,13771
1990-07-08,14280
1990-07-09,14749
1990-07-10,14931
1990-07-11,14969
1990-07-12,14822
1990-07-13,15010
1990-07-14,13692
1990-07-15,14065
1990-07-16,15032
1990-07-17,15077
1990-07-18,14852
1990-07-19,14713
1990-07-20,14655
1990-07-21,13677
1990-07-22,14185
1990-07-23,14881
1990-07-24,15134
1990-07-25,15036
1990-07-26,14961
1990-07-27,14995
1990-07-28,13784
1990-07-29,14135
1990-07-30,14980
1990-07-31,14894
1990-08-01,14994
1990-08-02,14941
1990-08-03,15040
1990-08-04,13787
1990-08-05,14162
1990-08-06,14939
1990-08-07,14955
1990-08-08,15034
1990-08-09,14936
1990-08-10,14900
1990-08-11,13630
1990-08-12,14113
1990-08-13,14830
1990-08-14,14856
1990-08-15,14835
1990-08-16,14899
1990-08-17,14874
1990-08-18,13706
1990-08-19,14076
1990-08-20,14820
1990-08-21,14885
1990-08-22,15002
1990-08-23,14948
1990-08-24,14883
1990-08-25,13619
1990-08-26,14303
1990-08-27,14978
1990-08-28,14885
1990-08-29,14915
1990-08-30,15036
1990-08-31,15034
1990-09-01,12872
1990-09-02,12506
1990-09-03,14450
1990-09-04,15082
1990-09-05,14894
1990-09-06,14831
1990-09-07,14604
1990-09-08,13561
1990-09-09,14039
1990-09-10,14828
1990-09-11,14902
1990-09-12,14937
1990-09-13,14594
1990-09-14,14333
1990-09-15,13330
1990-09-16,13997
1990-09-17,14951
1990-09-18,14943
1990-09-19,14985
1990-09-20,14948
1990-09-21,14864
1990-09-22,13446
1990-09-23,14097
1990-09-24,15073
1990-09-25,15088
1990-09-26,15008
1990-09-27,14698
1990-09-28,14840
1990-09-29,13442
1990-09-30,14078
1990-10-01,15052
1990-10-02,15066
1990-10-03,14966
1990-10-04,14984
1990-10-05,14896
1990-10-06,13570
1990-10-07,14066
1990-10-08,14796
1990-10-09,14798
1990-10-10,14760
1990-10-11,14784
1990-10-12,14790
1990-10-13,13372
1990-10-14,13934
1990-10-15,14928
1990-10-16,15010
1990-10-17,14801
1990-10-18,14707
1990-10-19,14828
1990-10-20,13504
1990-10-21,14005
1990-10-22,14814
1990-10-23,14865
1990-10-24,14976
1990-10-25,14953
1990-10-26,14866
1990-10-27,13336
1990-10-28,13895
1990-10-29,15006
1990-10-30,14994
1990-10-31,14785
1990-11-01,14889
1990-11-02,14828
1990-11-03,13200
1990-11-04,13826
1990-11-05,14657
1990-11-06,14709
1990-11-07,14736
1990-11-08,14627
1990-11-09,14680
1990-11-10,13005
1990-11-11,13878
1990-11-12,14825
1990-11-13,14869
1990-11-14,14864
1990-11-15,14940
1990-11-16,14860
1990-11-17,13214
1990-11-18,13946
1990-11-19,14916
1990-11-20,14820
1990-11-21,14948
1990-11-22,11885
1990-11-23,10827
1990-11-24,12732
1990-11-25,14081
1990-11-26,14769
1990-11-27,14560
1990-11-28,14731
1990-11-29,14943
1990-11-30,14982
1990-12-01,13235
1990-12-02,13732
1990-12-03,13949
1990-12-04,14518
1990-12-05,14729
1990-12-06,14804
1990-12-07,14755
1990-12-08,13227
1990-12-09,13873
1990-12-10,14902
1990-12-11,14864
1990-12-12,14815
1990-12-13,14662
1990-12-14,14608
1990-12-15,12829
1990-12-16,13677
1990-12-17,14603
1990-12-18,14484
1990-12-19,14433
1990-12-20,14334
1990-12-21,13920
1990-12-22,12495
1990-12-23,12544
1990-12-24,12328
1990-12-25,12768
1990-12-26,14130
1990-12-27,13789
1990-12-28,13124
1990-12-29,11940
1990-12-30,11998
1990-12-31,12859
1991-01-01,13600
1991-01-02,13969
1991-01-03,13886
1991-01-04,13683
1991-01-05,11893
1991-01-06,12938
1991-01-07,13681
1991-01-08,13774
1991-01-09,13344
1991-01-10,13441
1991-01-11,12693
1991-01-12,11866
1991-01-13,13079
1991-01-14,14134
1991-01-15,13871
1991-01-16,13819
1991-01-17,13968
1991-01-18,13905
1991-01-19,12330
1991-01-20,13049
1991-01-21,13986
1991-01-22,14027
1991-01-23,14058
1991-01-24,13985
1991-01-25,14038
1991-01-26,12159
1991-01-27,13016
1991-01-28,13982
1991-01-29,13782
1991-01-30,13847
1991-01-31,14037
1991-02-01,14082
1991-02-02,12252
1991-02-03,13071
1991-02-04,14049
1991-02-05,13775
1991-02-06,13036
1991-02-07,13620
1991-02-08,13858
1991-02-09,12126
1991-02-10,13101
1991-02-11,14189
1991-02-12,14062
1991-02-13,14128
1991-02-14,13464
1991-02-15,13742
1991-02-16,12428
1991-02-17,13247
1991-02-18,13850
1991-02-19,13885
1991-02-20,14234
1991-02-21,14159
1991-02-22,14217
1991-02-23,12457
1991-02-24,13309
1991-02-25,14276
1991-02-26,14111
1991-02-27,14117
1991-02-28,14120
1991-03-01,13959
1991-03-02,12325
1991-03-03,13189
1991-03-04,13994
1991-03-05,14225
1991-03-06,14267
1991-03-07,14313
1991-03-08,14312
1991-03-09,12642
1991-03-10,13311
1991-03-11,14298
1991-03-12,13970
1991-03-13,13931
1991-03-14,14212
1991-03-15,14018
1991-03-16,12513
1991-03-17,13260
1991-03-18,14147
1991-03-19,14167
1991-03-20,14235
1991-03-21,13949
1991-03-22,14145
1991-03-23,12375
1991-03-24,13300
1991-03-25,14253
1991-03-26,14132
1991-03-27,13802
1991-03-28,14051
1991-03-29,14071
1991-03-30,12569
1991-03-31,13388
1991-04-01,14343
1991-04-02,14383
1991-04-03,14389
1991-04-04,14356
1991-04-05,14253
1991-04-06,12517
1991-04-07,13374
1991-04-08,14310
1991-04-09,14185
1991-04-10,14283
1991-04-11,14282
1991-04-12,14333
1991-04-13,12452
1991-04-14,13256
1991-04-15,14231
1991-04-16,14393
1991-04-17,14380
1991-04-18,14319
1991-04-19,14379
1991-04-20,12629
1991-04-21,13441
1991-04-22,14462
1991-04-23,14434
1991-04-24,14453
1991-04-25,14423
1991-04-26,14405
1991-04-27,12673
1991-04-28,13378
1991-04-29,14295
1991-04-30,14326
1991-05-01,14278
1991-05-02,14213
1991-05-03,14167
1991-05-04,12278
1991-05-05,13231
1991-05-06,14236
1991-05-07,14410
1991-05-08,14252
1991-05-09,14320
1991-05-10,14266
1991-05-11,12496
1991-05-12,13255
1991-05-13,14300
1991-05-14,14107
1991-05-15,14217
1991-05-16,14079
1991-05-17,14094
1991-05-18,12313
1991-05-19,13346
1991-05-20,14400
1991-05-21,14365
1991-05-22,14214
1991-05-23,14207
1991-05-24,14197
1991-05-25,11950
1991-05-26,12021
1991-05-27,13618
1991-05-28,14272
1991-05-29,14237
1991-05-30,14083
1991-05-31,14080
1991-06-01,12565
1991-06-02,13398
1991-06-03,14411
1991-06-04,14438
1991-06-05,14422
1991-06-06,14451
1991-06-07,14635
1991-06-08,12971
1991-06-09,13697
1991-06-10,14619
1991-06-11,14567
1991-06-12,14480
1991-06-13,14467
1991-06-14,14497
1991-06-15,12912
1991-06-16,13541
1991-06-17,14552
1991-06-18,14533
1991-06-19,14490
1991-06-20,14630
1991-06-21,14523
1991-06-22,12904
1991-06-23,13697
1991-06-24,14598
1991-06-25,14562
1991-06-26,14515
1991-06-27,14463
1991-06-28,14647
1991-06-29,13009
1991-06-30,13653
1991-07-01,14621
1991-07-02,14560
1991-07-03,14565
1991-07-04,12468
1991-07-05,12684
1991-07-06,12843
1991-07-07,13620
1991-07-08,14564
1991-07-09,14664
1991-07-10,14652
1991-07-11,14732
1991-07-12,14746
1991-07-13,13033
1991-07-14,13842
1991-07-15,14790
1991-07-16,14680
1991-07-17,14629
1991-07-18,14736
1991-07-19,14686
1991-07-20,13017
1991-07-21,13673
1991-07-22,14640
1991-07-23,14362
1991-07-24,14462
1991-07-25,14525
1991-07-26,14505
1991-07-27,12971
1991-07-28,13720
1991-07-29,14613
1991-07-30,14671
1991-07-31,14690
1991-08-01,14531
1991-08-02,14607
1991-08-03,13030
1991-08-04,13701
1991-08-05,14730
1991-08-06,14775
1991-08-07,14663
1991-08-08,14434
1991-08-09,14595
1991-08-10,13057
1991-08-11,13761
1991-08-12,14727
1991-08-13,14636
1991-08-14,14612
1991-08-15,14635
1991-08-16,14531
1991-08-17,12942
1991-08-18,13680
1991-08-19,13954
1991-08-20,14328
1991-08-21,14566
1991-08-22,14687
1991-08-23,14678
1991-08-24,13044
1991-08-25,13677
1991-08-26,14622
1991-08-27,14592
1991-08-28,14586
1991-08-29,14590
1991-08-30,14460
1991-08-31,11943
1991-09-01,11355
1991-09-02,13943
1991-09-03,14487
1991-09-04,14449
1991-09-05,14405
1991-09-06,14474
1991-09-07,12493
1991-09-08,13368
1991-09-09,14441
1991-09-10,14476
1991-09-11,14429
1991-09-12,14402
1991-09-13,14427
1991-09-14,12406
1991-09-15,13305
1991-09-16,14416
1991-09-17,13857
1991-09-18,14043
1991-09-19,14136
1991-09-20,14304
1991-09-21,12452
1991-09-22,13417
1991-09-23,14427
1991-09-24,14425
1991-09-25,14281
1991-09-26,14378
1991-09-27,14362
1991-09-28,12456
1991-09-29,13353
1991-09-30,14425
1991-10-01,14287
1991-10-02,14292
1991-10-03,14337
1991-10-04,14019
1991-10-05,12234
1991-10-06,13321
1991-10-07,14384
1991-10-08,14355
1991-10-09,14305
1991-10-10,14345
1991-10-11,14324
1991-10-12,12472
1991-10-13,13383
1991-10-14,14370
1991-10-15,14312
1991-10-16,14414
1991-10-17,14337
1991-10-18,14270
1991-10-19,12430
1991-10-20,13288
1991-10-21,14477
1991-10-22,14405
1991-10-23,14255
1991-10-24,14069
1991-10-25,14130
1991-10-26,12103
1991-10-27,12928
1991-10-28,13930
1991-10-29,14029
1991-10-30,14027
